seed,modelo,t_s,coverage
45,LSTM-TransKD,0.64820,1.00000
45,LSTM-TransKD,0.68230,1.00000
45,LSTM-TransKD,0.71640,1.00000
45,LSTM-TransKD,0.75050,1.00000
45,LSTM-TransKD,0.78460,1.00000
45,LSTM-TransKD,0.81870,1.00000
45,LSTM-TransKD,0.85280,1.00000
45,LSTM-TransKD,0.88700,1.00000
45,LSTM-TransKD,0.92110,1.00000
45,LSTM-TransKD,0.95520,1.00000
45,LSTM-TransKD,0.98930,1.00000
45,LSTM-TransKD,1.02340,1.00000
45,LSTM-TransKD,1.05750,1.00000
45,LSTM-TransKD,1.09160,1.00000
45,LSTM-TransKD,1.12580,1.00000
45,LSTM-TransKD,1.15990,1.00000
45,LSTM-TransKD,1.19400,1.00000
45,LSTM-TransKD,1.22810,1.00000
45,LSTM-TransKD,1.26220,1.00000
45,LSTM-TransKD,1.29630,1.00000
45,LSTM-TransKD,1.33040,1.00000
45,LSTM-TransKD,1.36450,1.00000
45,LSTM-TransKD,1.39870,1.00000
45,LSTM-TransKD,1.43280,1.00000
45,LSTM-TransKD,1.46690,1.00000
45,LSTM-TransKD,1.50100,1.00000
45,LSTM-TransKD,1.53510,1.00000
45,LSTM-TransKD,1.56920,1.00000
45,LSTM-TransKD,1.60330,1.00000
45,LSTM-TransKD,1.63750,1.00000
45,LSTM-TransKD,1.67160,1.00000
45,LSTM-TransKD,1.70570,1.00000
45,LSTM-TransKD,1.73980,1.00000
45,LSTM-TransKD,1.77390,1.00000
45,LSTM-TransKD,1.80800,1.00000
45,LSTM-TransKD,1.84210,1.00000
45,LSTM-TransKD,1.87630,1.00000
45,LSTM-TransKD,1.91040,1.00000
45,LSTM-TransKD,1.94450,1.00000
45,LSTM-TransKD,1.97860,1.00000
45,LSTM-TransKD,2.01270,1.00000
45,LSTM-TransKD,2.04680,1.00000
45,LSTM-TransKD,2.08090,1.00000
45,LSTM-TransKD,2.11510,1.00000
45,LSTM-TransKD,2.14920,1.00000
45,LSTM-TransKD,2.18330,1.00000
45,LSTM-TransKD,2.21740,1.00000
45,LSTM-TransKD,2.25150,1.00000
45,LSTM-TransKD,2.28560,1.00000
45,LSTM-TransKD,2.31970,1.00000
45,LSTM-TransKD,2.35380,1.00000
45,LSTM-TransKD,2.38800,1.00000
45,LSTM-TransKD,2.42210,1.00000
45,LSTM-TransKD,2.45620,1.00000
45,LSTM-TransKD,2.49030,1.00000
45,LSTM-TransKD,2.52440,1.00000
45,LSTM-TransKD,2.55850,1.00000
45,LSTM-TransKD,2.59260,1.00000
45,LSTM-TransKD,2.62680,1.00000
45,LSTM-TransKD,2.66090,1.00000
45,LSTM-TransKD,2.69500,1.00000
45,LSTM-TransKD,2.72910,1.00000
45,LSTM-TransKD,2.76320,1.00000
45,LSTM-TransKD,2.79730,1.00000
45,LSTM-TransKD,2.83140,1.00000
45,LSTM-TransKD,2.86560,1.00000
45,LSTM-TransKD,2.89970,1.00000
45,LSTM-TransKD,2.93380,1.00000
45,LSTM-TransKD,2.96790,1.00000
45,LSTM-TransKD,3.00200,1.00000
45,LSTM-TransKD,3.03610,1.00000
45,LSTM-TransKD,3.07020,1.00000
45,LSTM-TransKD,3.10430,1.00000
45,LSTM-TransKD,3.13850,1.00000
45,LSTM-TransKD,3.17260,1.00000
45,LSTM-TransKD,3.20670,1.00000
45,LSTM-TransKD,3.24080,1.00000
45,LSTM-TransKD,3.27490,1.00000
45,LSTM-TransKD,3.30900,1.00000
45,LSTM-TransKD,3.34310,1.00000
45,LSTM-TransKD,3.37730,1.00000
45,LSTM-TransKD,3.41140,1.00000
45,LSTM-TransKD,3.44550,1.00000
45,LSTM-TransKD,3.47960,1.00000
45,LSTM-TransKD,3.51370,1.00000
45,LSTM-TransKD,3.54780,1.00000
45,LSTM-TransKD,3.58190,1.00000
45,LSTM-TransKD,3.61610,1.00000
45,LSTM-TransKD,3.65020,1.00000
45,LSTM-TransKD,3.68430,1.00000
45,LSTM-TransKD,3.71840,1.00000
45,LSTM-TransKD,3.75250,1.00000
45,LSTM-TransKD,3.78660,1.00000
45,LSTM-TransKD,3.82070,1.00000
45,LSTM-TransKD,3.85480,1.00000
45,LSTM-TransKD,3.88900,1.00000
45,LSTM-TransKD,3.92310,1.00000
45,LSTM-TransKD,3.95720,1.00000
45,LSTM-TransKD,3.99130,1.00000
45,LSTM-TransKD,4.02540,1.00000
45,LSTM-TransKD,4.05950,1.00000
45,LSTM-TransKD,4.09360,1.00000
45,LSTM-TransKD,4.12780,1.00000
45,LSTM-TransKD,4.16190,1.00000
45,LSTM-TransKD,4.19600,1.00000
45,LSTM-TransKD,4.23010,1.00000
45,LSTM-TransKD,4.26420,1.00000
45,LSTM-TransKD,4.29830,1.00000
45,LSTM-TransKD,4.33240,1.00000
45,LSTM-TransKD,4.36660,1.00000
45,LSTM-TransKD,4.40070,1.00000
45,LSTM-TransKD,4.43480,1.00000
45,LSTM-TransKD,4.46890,1.00000
45,LSTM-TransKD,4.50300,1.00000
45,LSTM-TransKD,4.53710,1.00000
45,LSTM-TransKD,4.57120,1.00000
45,LSTM-TransKD,4.60540,1.00000
45,LSTM-TransKD,4.63950,1.00000
45,LSTM-TransKD,4.67360,1.00000
45,LSTM-TransKD,4.70770,1.00000
45,LSTM-TransKD,4.74180,1.00000
45,LSTM-TransKD,4.77590,1.00000
45,LSTM-TransKD,4.81000,1.00000
45,LSTM-TransKD,4.84410,1.00000
45,LSTM-TransKD,4.87830,1.00000
45,LSTM-TransKD,4.91240,1.00000
45,LSTM-TransKD,4.94650,1.00000
45,LSTM-TransKD,4.98060,1.00000
45,LSTM-TransKD,5.01470,1.00000
45,LSTM-TransKD,5.04880,1.00000
45,LSTM-TransKD,5.08290,1.00000
45,LSTM-TransKD,5.11710,1.00000
45,LSTM-TransKD,5.15120,1.00000
45,LSTM-TransKD,5.18530,1.00000
45,LSTM-TransKD,5.21940,1.00000
45,LSTM-TransKD,5.25350,1.00000
45,LSTM-TransKD,5.28760,1.00000
45,LSTM-TransKD,5.32170,1.00000
45,LSTM-TransKD,5.35590,1.00000
45,LSTM-TransKD,5.39000,1.00000
45,LSTM-TransKD,5.42410,1.00000
45,LSTM-TransKD,5.45820,1.00000
45,LSTM-TransKD,5.49230,1.00000
45,LSTM-TransKD,5.52640,1.00000
45,LSTM-TransKD,5.56050,1.00000
45,LSTM-TransKD,5.59460,1.00000
45,LSTM-TransKD,5.62880,1.00000
45,LSTM-TransKD,5.66290,1.00000
45,LSTM-TransKD,5.69700,1.00000
45,LSTM-TransKD,5.73110,1.00000
45,LSTM-TransKD,5.76520,1.00000
45,LSTM-TransKD,5.79930,1.00000
45,LSTM-TransKD,5.83340,1.00000
45,LSTM-TransKD,5.86760,1.00000
45,LSTM-TransKD,5.90170,1.00000
45,LSTM-TransKD,5.93580,1.00000
45,LSTM-TransKD,5.96990,1.00000
45,LSTM-TransKD,6.00400,1.00000
45,LSTM-TransKD,6.03810,1.00000
45,LSTM-TransKD,6.07220,1.00000
45,LSTM-TransKD,6.10640,1.00000
45,LSTM-TransKD,6.14050,1.00000
45,LSTM-TransKD,6.17460,1.00000
45,LSTM-TransKD,6.20870,1.00000
45,LSTM-TransKD,6.24280,1.00000
45,LSTM-TransKD,6.27690,1.00000
45,LSTM-TransKD,6.31100,1.00000
45,LSTM-TransKD,6.34520,1.00000
45,LSTM-TransKD,6.37930,1.00000
45,LSTM-TransKD,6.41340,1.00000
45,LSTM-TransKD,6.44750,1.00000
45,LSTM-TransKD,6.48160,1.00000
45,LSTM-TransKD,6.51570,1.00000
45,LSTM-TransKD,6.54980,1.00000
45,LSTM-TransKD,6.58390,1.00000
45,LSTM-TransKD,6.61810,1.00000
45,LSTM-TransKD,6.65220,1.00000
45,LSTM-TransKD,6.68630,1.00000
45,LSTM-TransKD,6.72040,1.00000
45,LSTM-TransKD,6.75450,1.00000
45,LSTM-TransKD,6.78860,1.00000
45,LSTM-TransKD,6.82270,1.00000
45,LSTM-TransKD,6.85690,1.00000
45,LSTM-TransKD,6.89100,1.00000
45,LSTM-TransKD,6.92510,1.00000
45,LSTM-TransKD,6.95920,1.00000
45,LSTM-TransKD,6.99330,1.00000
45,LSTM-TransKD,7.02740,1.00000
45,LSTM-TransKD,7.06150,1.00000
45,LSTM-TransKD,7.09570,1.00000
45,LSTM-TransKD,7.12980,1.00000
45,LSTM-TransKD,7.16390,1.00000
45,LSTM-TransKD,7.19800,1.00000
45,LSTM-TransKD,7.23210,1.00000
45,LSTM-TransKD,7.26620,1.00000
45,LSTM-TransKD,7.30030,1.00000
45,LSTM-TransKD,7.33440,1.00000
45,LSTM-TransKD,7.36860,1.00000
45,LSTM-TransKD,7.40270,1.00000
45,LSTM-TransKD,7.43680,1.00000
45,LSTM-TransKD,7.47090,1.00000
45,LSTM-TransKD,7.50500,1.00000
45,LSTM-TransKD,7.53910,1.00000
45,LSTM-TransKD,7.57320,1.00000
45,LSTM-TransKD,7.60740,1.00000
45,LSTM-TransKD,7.64150,1.00000
45,LSTM-TransKD,7.67560,1.00000
45,LSTM-TransKD,7.70970,1.00000
45,LSTM-TransKD,7.74380,1.00000
45,LSTM-TransKD,7.77790,1.00000
45,LSTM-TransKD,7.81200,1.00000
45,LSTM-TransKD,7.84620,1.00000
45,LSTM-TransKD,7.88030,1.00000
45,LSTM-TransKD,7.91440,1.00000
45,LSTM-TransKD,7.94850,1.00000
45,LSTM-TransKD,7.98260,1.00000
45,LSTM-TransKD,8.01670,1.00000
45,LSTM-TransKD,8.05080,1.00000
45,LSTM-TransKD,8.08490,1.00000
45,LSTM-TransKD,8.11910,1.00000
45,LSTM-TransKD,8.15320,1.00000
45,LSTM-TransKD,8.18730,1.00000
45,LSTM-TransKD,8.22140,1.00000
45,LSTM-TransKD,8.25550,1.00000
45,LSTM-TransKD,8.28960,1.00000
45,LSTM-TransKD,8.32370,1.00000
45,LSTM-TransKD,8.35790,1.00000
45,LSTM-TransKD,8.39200,1.00000
45,LSTM-TransKD,8.42610,1.00000
45,LSTM-TransKD,8.46020,1.00000
45,LSTM-TransKD,8.49430,1.00000
45,LSTM-TransKD,8.52840,1.00000
45,LSTM-TransKD,8.56250,1.00000
45,LSTM-TransKD,8.59670,1.00000
45,LSTM-TransKD,8.63080,1.00000
45,LSTM-TransKD,8.66490,1.00000
45,LSTM-TransKD,8.69900,1.00000
45,LSTM-TransKD,8.73310,1.00000
45,LSTM-TransKD,8.76720,1.00000
45,LSTM-TransKD,8.80130,1.00000
45,LSTM-TransKD,8.83550,1.00000
45,LSTM-TransKD,8.86960,1.00000
45,LSTM-TransKD,8.90370,1.00000
45,LSTM-TransKD,8.93780,1.00000
45,LSTM-TransKD,8.97190,1.00000
45,LSTM-TransKD,9.00600,1.00000
45,LSTM-TransKD,9.04010,1.00000
45,LSTM-TransKD,9.07420,1.00000
45,LSTM-TransKD,9.10840,1.00000
45,LSTM-TransKD,9.14250,1.00000
45,LSTM-TransKD,9.17660,1.00000
45,LSTM-TransKD,9.21070,1.00000
45,LSTM-TransKD,9.24480,1.00000
45,LSTM-TransKD,9.27890,1.00000
45,LSTM-TransKD,9.31300,1.00000
45,LSTM-TransKD,9.34720,1.00000
45,LSTM-TransKD,9.38130,1.00000
45,LSTM-TransKD,9.41540,1.00000
45,LSTM-TransKD,9.44950,1.00000
45,LSTM-TransKD,9.48360,1.00000
45,LSTM-TransKD,9.51770,1.00000
45,LSTM-TransKD,9.55180,1.00000
45,LSTM-TransKD,9.58600,1.00000
45,LSTM-TransKD,9.62010,1.00000
45,LSTM-TransKD,9.65420,1.00000
45,LSTM-TransKD,9.68830,1.00000
45,LSTM-TransKD,9.72240,1.00000
45,LSTM-TransKD,9.75650,1.00000
45,LSTM-TransKD,9.79060,1.00000
45,LSTM-TransKD,9.82470,1.00000
45,LSTM-TransKD,9.85890,1.00000
45,LSTM-TransKD,9.89300,1.00000
45,LSTM-TransKD,9.92710,1.00000
45,LSTM-TransKD,9.96120,1.00000
45,LSTM-TransKD,9.99530,1.00000
45,LSTM-TransKD,10.02940,1.00000
45,LSTM-TransKD,10.06350,1.00000
45,LSTM-TransKD,10.09770,1.00000
45,LSTM-TransKD,10.13180,1.00000
45,LSTM-TransKD,10.16590,1.00000
45,LSTM-TransKD,10.20000,1.00000
45,Transformer-Baseline,0.00000,0.88333
45,Transformer-Baseline,0.03410,0.88333
45,Transformer-Baseline,0.06820,0.88333
45,Transformer-Baseline,0.10230,0.88333
45,Transformer-Baseline,0.13650,0.94167
45,Transformer-Baseline,0.17060,0.94167
45,Transformer-Baseline,0.20470,0.94167
45,Transformer-Baseline,0.23880,0.95000
45,Transformer-Baseline,0.27290,0.95000
45,Transformer-Baseline,0.30700,0.95000
45,Transformer-Baseline,0.34110,0.95833
45,Transformer-Baseline,0.37530,0.95833
45,Transformer-Baseline,0.40940,0.95833
45,Transformer-Baseline,0.44350,0.96667
45,Transformer-Baseline,0.47760,0.96667
45,Transformer-Baseline,0.51170,0.96667
45,Transformer-Baseline,0.54580,0.99167
45,Transformer-Baseline,0.57990,0.99167
45,Transformer-Baseline,0.61400,0.99167
45,Transformer-Baseline,0.64820,0.99167
45,Transformer-Baseline,0.68230,0.99167
45,Transformer-Baseline,0.71640,0.99167
45,Transformer-Baseline,0.75050,0.99167
45,Transformer-Baseline,0.78460,0.99167
45,Transformer-Baseline,0.81870,0.99167
45,Transformer-Baseline,0.85280,1.00000
45,Transformer-Baseline,0.88700,1.00000
45,Transformer-Baseline,0.92110,1.00000
45,Transformer-Baseline,0.95520,1.00000
45,Transformer-Baseline,0.98930,1.00000
45,Transformer-Baseline,1.02340,1.00000
45,Transformer-Baseline,1.05750,1.00000
45,Transformer-Baseline,1.09160,1.00000
45,Transformer-Baseline,1.12580,1.00000
45,Transformer-Baseline,1.15990,1.00000
45,Transformer-Baseline,1.19400,1.00000
45,Transformer-Baseline,1.22810,1.00000
45,Transformer-Baseline,1.26220,1.00000
45,Transformer-Baseline,1.29630,1.00000
45,Transformer-Baseline,1.33040,1.00000
45,Transformer-Baseline,1.36450,1.00000
45,Transformer-Baseline,1.39870,1.00000
45,Transformer-Baseline,1.43280,1.00000
45,Transformer-Baseline,1.46690,1.00000
45,Transformer-Baseline,1.50100,1.00000
45,Transformer-Baseline,1.53510,1.00000
45,Transformer-Baseline,1.56920,1.00000
45,Transformer-Baseline,1.60330,1.00000
45,Transformer-Baseline,1.63750,1.00000
45,Transformer-Baseline,1.67160,1.00000
45,Transformer-Baseline,1.70570,1.00000
45,Transformer-Baseline,1.73980,1.00000
45,Transformer-Baseline,1.77390,1.00000
45,Transformer-Baseline,1.80800,1.00000
45,Transformer-Baseline,1.84210,1.00000
45,Transformer-Baseline,1.87630,1.00000
45,Transformer-Baseline,1.91040,1.00000
45,Transformer-Baseline,1.94450,1.00000
45,Transformer-Baseline,1.97860,1.00000
45,Transformer-Baseline,2.01270,1.00000
45,Transformer-Baseline,2.04680,1.00000
45,Transformer-Baseline,2.08090,1.00000
45,Transformer-Baseline,2.11510,1.00000
45,Transformer-Baseline,2.14920,1.00000
45,Transformer-Baseline,2.18330,1.00000
45,Transformer-Baseline,2.21740,1.00000
45,Transformer-Baseline,2.25150,1.00000
45,Transformer-Baseline,2.28560,1.00000
45,Transformer-Baseline,2.31970,1.00000
45,Transformer-Baseline,2.35380,1.00000
45,Transformer-Baseline,2.38800,1.00000
45,Transformer-Baseline,2.42210,1.00000
45,Transformer-Baseline,2.45620,1.00000
45,Transformer-Baseline,2.49030,1.00000
45,Transformer-Baseline,2.52440,1.00000
45,Transformer-Baseline,2.55850,1.00000
45,Transformer-Baseline,2.59260,1.00000
45,Transformer-Baseline,2.62680,1.00000
45,Transformer-Baseline,2.66090,1.00000
45,Transformer-Baseline,2.69500,1.00000
45,Transformer-Baseline,2.72910,1.00000
45,Transformer-Baseline,2.76320,1.00000
45,Transformer-Baseline,2.79730,1.00000
45,Transformer-Baseline,2.83140,1.00000
45,Transformer-Baseline,2.86560,1.00000
45,Transformer-Baseline,2.89970,1.00000
45,Transformer-Baseline,2.93380,1.00000
45,Transformer-Baseline,2.96790,1.00000
45,Transformer-Baseline,3.00200,1.00000
45,Transformer-Baseline,3.03610,1.00000
45,Transformer-Baseline,3.07020,1.00000
45,Transformer-Baseline,3.10430,1.00000
45,Transformer-Baseline,3.13850,1.00000
45,Transformer-Baseline,3.17260,1.00000
45,Transformer-Baseline,3.20670,1.00000
45,Transformer-Baseline,3.24080,1.00000
45,Transformer-Baseline,3.27490,1.00000
45,Transformer-Baseline,3.30900,1.00000
45,Transformer-Baseline,3.34310,1.00000
45,Transformer-Baseline,3.37730,1.00000
45,Transformer-Baseline,3.41140,1.00000
45,Transformer-Baseline,3.44550,1.00000
45,Transformer-Baseline,3.47960,1.00000
45,Transformer-Baseline,3.51370,1.00000
45,Transformer-Baseline,3.54780,1.00000
45,Transformer-Baseline,3.58190,1.00000
45,Transformer-Baseline,3.61610,1.00000
45,Transformer-Baseline,3.65020,1.00000
45,Transformer-Baseline,3.68430,1.00000
45,Transformer-Baseline,3.71840,1.00000
45,Transformer-Baseline,3.75250,1.00000
45,Transformer-Baseline,3.78660,1.00000
45,Transformer-Baseline,3.82070,1.00000
45,Transformer-Baseline,3.85480,1.00000
45,Transformer-Baseline,3.88900,1.00000
45,Transformer-Baseline,3.92310,1.00000
45,Transformer-Baseline,3.95720,1.00000
45,Transformer-Baseline,3.99130,1.00000
45,Transformer-Baseline,4.02540,1.00000
45,Transformer-Baseline,4.05950,1.00000
45,Transformer-Baseline,4.09360,1.00000
45,Transformer-Baseline,4.12780,1.00000
45,Transformer-Baseline,4.16190,1.00000
45,Transformer-Baseline,4.19600,1.00000
45,Transformer-Baseline,4.23010,1.00000
45,Transformer-Baseline,4.26420,1.00000
45,Transformer-Baseline,4.29830,1.00000
45,Transformer-Baseline,4.33240,1.00000
45,Transformer-Baseline,4.36660,1.00000
45,Transformer-Baseline,4.40070,1.00000
45,Transformer-Baseline,4.43480,1.00000
45,Transformer-Baseline,4.46890,1.00000
45,Transformer-Baseline,4.50300,1.00000
45,Transformer-Baseline,4.53710,1.00000
45,Transformer-Baseline,4.57120,1.00000
45,Transformer-Baseline,4.60540,1.00000
45,Transformer-Baseline,4.63950,1.00000
45,Transformer-Baseline,4.67360,1.00000
45,Transformer-Baseline,4.70770,1.00000
45,Transformer-Baseline,4.74180,1.00000
45,Transformer-Baseline,4.77590,1.00000
45,Transformer-Baseline,4.81000,1.00000
45,Transformer-Baseline,4.84410,1.00000
45,Transformer-Baseline,4.87830,1.00000
45,Transformer-Baseline,4.91240,1.00000
45,Transformer-Baseline,4.94650,1.00000
45,Transformer-Baseline,4.98060,1.00000
45,Transformer-Baseline,5.01470,1.00000
45,Transformer-Baseline,5.04880,1.00000
45,Transformer-Baseline,5.08290,1.00000
45,Transformer-Baseline,5.11710,1.00000
45,Transformer-Baseline,5.15120,1.00000
45,Transformer-Baseline,5.18530,1.00000
45,Transformer-Baseline,5.21940,1.00000
45,Transformer-Baseline,5.25350,1.00000
45,Transformer-Baseline,5.28760,1.00000
45,Transformer-Baseline,5.32170,1.00000
45,Transformer-Baseline,5.35590,1.00000
45,Transformer-Baseline,5.39000,1.00000
45,Transformer-Baseline,5.42410,1.00000
45,Transformer-Baseline,5.45820,1.00000
45,Transformer-Baseline,5.49230,1.00000
45,Transformer-Baseline,5.52640,1.00000
45,Transformer-Baseline,5.56050,1.00000
45,Transformer-Baseline,5.59460,1.00000
45,Transformer-Baseline,5.62880,1.00000
45,Transformer-Baseline,5.66290,1.00000
45,Transformer-Baseline,5.69700,1.00000
45,Transformer-Baseline,5.73110,1.00000
45,Transformer-Baseline,5.76520,1.00000
45,Transformer-Baseline,5.79930,1.00000
45,Transformer-Baseline,5.83340,1.00000
45,Transformer-Baseline,5.86760,1.00000
45,Transformer-Baseline,5.90170,1.00000
45,Transformer-Baseline,5.93580,1.00000
45,Transformer-Baseline,5.96990,1.00000
45,Transformer-Baseline,6.00400,1.00000
45,Transformer-Baseline,6.03810,1.00000
45,Transformer-Baseline,6.07220,1.00000
45,Transformer-Baseline,6.10640,1.00000
45,Transformer-Baseline,6.14050,1.00000
45,Transformer-Baseline,6.17460,1.00000
45,Transformer-Baseline,6.20870,1.00000
45,Transformer-Baseline,6.24280,1.00000
45,Transformer-Baseline,6.27690,1.00000
45,Transformer-Baseline,6.31100,1.00000
45,Transformer-Baseline,6.34520,1.00000
45,Transformer-Baseline,6.37930,1.00000
45,Transformer-Baseline,6.41340,1.00000
45,Transformer-Baseline,6.44750,1.00000
45,Transformer-Baseline,6.48160,1.00000
45,Transformer-Baseline,6.51570,1.00000
45,Transformer-Baseline,6.54980,1.00000
45,Transformer-Baseline,6.58390,1.00000
45,Transformer-Baseline,6.61810,1.00000
45,Transformer-Baseline,6.65220,1.00000
45,Transformer-Baseline,6.68630,1.00000
45,Transformer-Baseline,6.72040,1.00000
45,Transformer-Baseline,6.75450,1.00000
45,Transformer-Baseline,6.78860,1.00000
45,Transformer-Baseline,6.82270,1.00000
45,Transformer-Baseline,6.85690,1.00000
45,Transformer-Baseline,6.89100,1.00000
45,Transformer-Baseline,6.92510,1.00000
45,Transformer-Baseline,6.95920,1.00000
45,Transformer-Baseline,6.99330,1.00000
45,Transformer-Baseline,7.02740,1.00000
45,Transformer-Baseline,7.06150,1.00000
45,Transformer-Baseline,7.09570,1.00000
45,Transformer-Baseline,7.12980,1.00000
45,Transformer-Baseline,7.16390,1.00000
45,Transformer-Baseline,7.19800,1.00000
45,Transformer-Baseline,7.23210,1.00000
45,Transformer-Baseline,7.26620,1.00000
45,Transformer-Baseline,7.30030,1.00000
45,Transformer-Baseline,7.33440,1.00000
45,Transformer-Baseline,7.36860,1.00000
45,Transformer-Baseline,7.40270,1.00000
45,Transformer-Baseline,7.43680,1.00000
45,Transformer-Baseline,7.47090,1.00000
45,Transformer-Baseline,7.50500,1.00000
45,Transformer-Baseline,7.53910,1.00000
45,Transformer-Baseline,7.57320,1.00000
45,Transformer-Baseline,7.60740,1.00000
45,Transformer-Baseline,7.64150,1.00000
45,Transformer-Baseline,7.67560,1.00000
45,Transformer-Baseline,7.70970,1.00000
45,Transformer-Baseline,7.74380,1.00000
45,Transformer-Baseline,7.77790,1.00000
45,Transformer-Baseline,7.81200,1.00000
45,Transformer-Baseline,7.84620,1.00000
45,Transformer-Baseline,7.88030,1.00000
45,Transformer-Baseline,7.91440,1.00000
45,Transformer-Baseline,7.94850,1.00000
45,Transformer-Baseline,7.98260,1.00000
45,Transformer-Baseline,8.01670,1.00000
45,Transformer-Baseline,8.05080,1.00000
45,Transformer-Baseline,8.08490,1.00000
45,Transformer-Baseline,8.11910,1.00000
45,Transformer-Baseline,8.15320,1.00000
45,Transformer-Baseline,8.18730,1.00000
45,Transformer-Baseline,8.22140,1.00000
45,Transformer-Baseline,8.25550,1.00000
45,Transformer-Baseline,8.28960,1.00000
45,Transformer-Baseline,8.32370,1.00000
45,Transformer-Baseline,8.35790,1.00000
45,Transformer-Baseline,8.39200,1.00000
45,Transformer-Baseline,8.42610,1.00000
45,Transformer-Baseline,8.46020,1.00000
45,Transformer-Baseline,8.49430,1.00000
45,Transformer-Baseline,8.52840,1.00000
45,Transformer-Baseline,8.56250,1.00000
45,Transformer-Baseline,8.59670,1.00000
45,Transformer-Baseline,8.63080,1.00000
45,Transformer-Baseline,8.66490,1.00000
45,Transformer-Baseline,8.69900,1.00000
45,Transformer-Baseline,8.73310,1.00000
45,Transformer-Baseline,8.76720,1.00000
45,Transformer-Baseline,8.80130,1.00000
45,Transformer-Baseline,8.83550,1.00000
45,Transformer-Baseline,8.86960,1.00000
45,Transformer-Baseline,8.90370,1.00000
45,Transformer-Baseline,8.93780,1.00000
45,Transformer-Baseline,8.97190,1.00000
45,Transformer-Baseline,9.00600,1.00000
45,Transformer-Baseline,9.04010,1.00000
45,Transformer-Baseline,9.07420,1.00000
45,Transformer-Baseline,9.10840,1.00000
45,Transformer-Baseline,9.14250,1.00000
45,Transformer-Baseline,9.17660,1.00000
45,Transformer-Baseline,9.21070,1.00000
45,Transformer-Baseline,9.24480,1.00000
45,Transformer-Baseline,9.27890,1.00000
45,Transformer-Baseline,9.31300,1.00000
45,Transformer-Baseline,9.34720,1.00000
45,Transformer-Baseline,9.38130,1.00000
45,Transformer-Baseline,9.41540,1.00000
45,Transformer-Baseline,9.44950,1.00000
45,Transformer-Baseline,9.48360,1.00000
45,Transformer-Baseline,9.51770,1.00000
45,Transformer-Baseline,9.55180,1.00000
45,Transformer-Baseline,9.58600,1.00000
45,Transformer-Baseline,9.62010,1.00000
45,Transformer-Baseline,9.65420,1.00000
45,Transformer-Baseline,9.68830,1.00000
45,Transformer-Baseline,9.72240,1.00000
45,Transformer-Baseline,9.75650,1.00000
45,Transformer-Baseline,9.79060,1.00000
45,Transformer-Baseline,9.82470,1.00000
45,Transformer-Baseline,9.85890,1.00000
45,Transformer-Baseline,9.89300,1.00000
45,Transformer-Baseline,9.92710,1.00000
45,Transformer-Baseline,9.96120,1.00000
45,Transformer-Baseline,9.99530,1.00000
45,Transformer-Baseline,10.02940,1.00000
45,Transformer-Baseline,10.06350,1.00000
45,Transformer-Baseline,10.09770,1.00000
45,Transformer-Baseline,10.13180,1.00000
45,Transformer-Baseline,10.16590,1.00000
45,Transformer-Baseline,10.20000,1.00000
45,Transformer-AF-KD,0.00000,1.00000
45,Transformer-AF-KD,0.03410,1.00000
45,Transformer-AF-KD,0.06820,1.00000
45,Transformer-AF-KD,0.10230,1.00000
45,Transformer-AF-KD,0.13650,1.00000
45,Transformer-AF-KD,0.17060,1.00000
45,Transformer-AF-KD,0.20470,1.00000
45,Transformer-AF-KD,0.23880,1.00000
45,Transformer-AF-KD,0.27290,1.00000
45,Transformer-AF-KD,0.30700,1.00000
45,Transformer-AF-KD,0.34110,1.00000
45,Transformer-AF-KD,0.37530,1.00000
45,Transformer-AF-KD,0.40940,1.00000
45,Transformer-AF-KD,0.44350,1.00000
45,Transformer-AF-KD,0.47760,1.00000
45,Transformer-AF-KD,0.51170,1.00000
45,Transformer-AF-KD,0.54580,1.00000
45,Transformer-AF-KD,0.57990,1.00000
45,Transformer-AF-KD,0.61400,1.00000
45,Transformer-AF-KD,0.64820,1.00000
45,Transformer-AF-KD,0.68230,1.00000
45,Transformer-AF-KD,0.71640,1.00000
45,Transformer-AF-KD,0.75050,1.00000
45,Transformer-AF-KD,0.78460,1.00000
45,Transformer-AF-KD,0.81870,1.00000
45,Transformer-AF-KD,0.85280,1.00000
45,Transformer-AF-KD,0.88700,1.00000
45,Transformer-AF-KD,0.92110,1.00000
45,Transformer-AF-KD,0.95520,1.00000
45,Transformer-AF-KD,0.98930,1.00000
45,Transformer-AF-KD,1.02340,1.00000
45,Transformer-AF-KD,1.05750,1.00000
45,Transformer-AF-KD,1.09160,1.00000
45,Transformer-AF-KD,1.12580,1.00000
45,Transformer-AF-KD,1.15990,1.00000
45,Transformer-AF-KD,1.19400,1.00000
45,Transformer-AF-KD,1.22810,1.00000
45,Transformer-AF-KD,1.26220,1.00000
45,Transformer-AF-KD,1.29630,1.00000
45,Transformer-AF-KD,1.33040,1.00000
45,Transformer-AF-KD,1.36450,1.00000
45,Transformer-AF-KD,1.39870,1.00000
45,Transformer-AF-KD,1.43280,1.00000
45,Transformer-AF-KD,1.46690,1.00000
45,Transformer-AF-KD,1.50100,1.00000
45,Transformer-AF-KD,1.53510,1.00000
45,Transformer-AF-KD,1.56920,1.00000
45,Transformer-AF-KD,1.60330,1.00000
45,Transformer-AF-KD,1.63750,1.00000
45,Transformer-AF-KD,1.67160,1.00000
45,Transformer-AF-KD,1.70570,1.00000
45,Transformer-AF-KD,1.73980,1.00000
